"","ID..year.event.number.","What.event.did.you.attend.","Indicate.the.gender.you.identify.the.most.with.","What.is.your.sexual.orientation.","What.is.your.race...Mark.all.that.apply.","Are.you.a.Transfer.Student.","What.is.your.UCLA.affiliation.","Where.are.you.currently.living.this.school.year.","How.did.you.hear.about.this.event.or.program.","To.what.extent.do.you.agree.with.the.following.statements...By.attending.this.event..I.gained.knowledge.and.or.skills.that.will.benefit.my.overall.health.or.well.being..","To.what.extent.do.you.agree.with.the.following.statements...I.would.apply.the.knowledge.and.or.skills.I.gained.from.attending.this.event.in.my.life..","To.what.extent.do.you.agree.with.the.following.statements...I.would.attend.a.similar.event.in.the.future..","Briefly.describe.what.you.liked.or.disliked.about.this.event.","committee"
"253","21-001-025","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Non-Binary","Bisexual","Hispanic or Latinx","No","Undergraduate 1st Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","it was really fun to walk around campus with th people i met, but it was also a lot of walking.","HerCampus"
"263","21-001-026","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Disagree","Neither Agree nor Disagree","Agree","I think the focus should’ve been more on the riddles and less on who can figure out the fastest route! Maybe more health/mental wellness/SWC related clues?","HerCampus"
"273","21-001-027","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","White","No","Undergraduate 4th Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","Got to help my roomates get to know the campus ","HerCampus"
"283","21-001-028","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","From a friend","Neither Agree nor Disagree","Neither Agree nor Disagree","Neither Agree nor Disagree","","HerCampus"
"293","21-001-029","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","","HerCampus"
"303","21-001-030","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Agree","Agree","I loved the aspect of exploring campus and meeting new people.","HerCampus"
"315","21-001-031","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Heterosexual/Straight","Asian","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Instagram, Email","Agree","Agree","Agree","It was a substitute for the orientation I couldn’t have, and I got to know new people 😀","HerCampus"
"323","21-001-032","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","SWC Search member","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","A couple people in my group already knew each other, so I felt a little left out. However, it was still nice socializing with all of them overall.","HerCampus"
"333","21-001-033","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Male","Gay","White","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Agree","Disagree","Strongly Agree","I liked that we got to travel around the campus but i feel the clues were too easy and there were opportunities for multiple correct answers.","HerCampus"
"343","21-001-034","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","HerCampus"
"353","21-001-035","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","White","Yes","Undergraduate 3rd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Disagree","Strongly Disagree","Strongly Disagree","Have an open conversation about topics that many people may not be comfortable with in most situations ","HerCampus"
"363","21-001-036","SEARCH x Active Minds x Sexperts x HerCampus: Campus Selfie Contest","Female","Heterosexual/Straight","Middle Eastern","No","Undergraduate 2nd Year","On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Neither Agree nor Disagree","Neither Agree nor Disagree","Agree","I liked how it was set up and how casual it was!  ","HerCampus"
"911","21-007-001","Total Wellness: YOUga!","Female","Heterosexual/Straight","Asian, Middle Eastern, White","No","Undergraduate 4th Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","Total Wellness"
"921","21-007-002","Total Wellness: YOUga!","Female","Prefer not to state","Asian","No","Undergraduate 3rd Year","Off-campus apartment","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)","Strongly Agree","Strongly Agree","Strongly Agree","","Total Wellness"
